73,7,77516,9,13,4,1,1,4,1,2174,0,40,39,0
33,6,83311,9,13,2,4,0,4,1,0,0,13,39,0
21,4,215646,11,9,0,6,1,4,1,0,0,40,39,0
36,4,234721,1,7,2,6,0,2,1,0,0,40,39,0
11,4,338409,9,13,2,10,5,2,0,0,0,40,5,0
20,4,284582,12,14,2,4,5,4,0,0,0,40,39,0
32,4,160187,6,5,3,8,1,2,0,0,0,16,23,0
35,6,209642,11,9,2,4,0,4,1,0,0,45,39,1
14,4,45781,12,14,4,10,1,4,0,14084,0,50,39,1
25,4,159449,9,13,2,4,0,4,1,5178,0,40,39,1
20,4,280464,15,10,2,4,0,2,1,0,0,80,39,1
13,7,141297,9,13,2,10,0,1,1,0,0,40,19,1
6,4,122272,9,13,4,1,3,4,0,0,0,30,39,0
15,4,205019,7,12,4,12,1,2,1,0,0,50,39,0
23,4,121772,8,11,2,3,0,1,1,0,0,40,0,1
17,4,245487,5,4,2,14,0,0,1,0,0,45,26,0
8,6,176756,11,9,4,5,3,4,1,0,0,35,39,0
15,4,186824,11,9,4,7,4,4,1,0,0,40,39,0
21,4,28887,1,7,2,12,0,4,1,0,0,50,39,0
26,6,292175,12,14,0,4,4,4,0,0,0,45,39,1
23,4,193524,10,16,2,10,0,4,1,0,0,60,39,1
37,4,302146,11,9,5,8,4,2,0,0,0,20,39,0
18,1,76845,6,5,2,5,0,2,1,0,0,40,39,0
26,4,117037,1,7,2,14,0,4,1,0,2042,40,39,0
42,4,109015,11,9,0,13,4,4,0,0,0,40,39,0
39,2,216851,9,13,2,13,0,4,1,0,0,40,39,1
2,4,168294,11,9,4,3,3,4,1,0,0,40,39,0
37,0,180211,15,10,2,0,0,1,1,0,0,60,35,1
22,4,367260,11,9,0,4,1,4,1,0,0,80,39,0
32,4,193366,11,9,2,3,0,4,1,0,0,40,39,0
6,2,190709,7,12,4,11,1,4,1,0,0,52,39,0
3,4,266015,15,10,4,12,3,2,1,0,0,44,39,0
28,4,386940,9,13,0,4,3,4,1,0,1408,40,39,0
13,1,59951,15,10,2,1,3,4,1,0,0,40,39,0
5,7,311512,15,10,2,8,0,2,1,0,0,15,39,0
